a46,a3,a47,a23,a28,a45,a18,a20,a30,a24,Class
18,1009090.55,297,70.0,24.0,29.0,112,262.5381628,30.0,132059.1029,0
270,11677.73,413,21.0,11.0,11.0,20,253.51,11.0,18468.63835,0
39,381840.42,167,55.0,25.0,26.0,79,3310.500353,26.0,3482165.455,0
4,102.07,3,0.0,0.0,0.0,6,101.0,0.0,0.0,0
270,291444.58,308,1.0,1.0,1.0,34,46.27232361,1.0,0.527787122,0
4,16284.15,3,0.0,0.0,0.0,69,0.97255313,0.0,0.0,0
4,169.87,3,0.0,0.0,0.0,2,0.44947692,0.0,0.0,0
4,2250.73,3,0.0,0.0,0.0,2,0.867610131,0.0,0.0,0
4,341868.53,3,0.0,0.0,0.0,5,0.46,0.0,0.0,0
291,614761.98,352,24.0,16.0,20.0,125,745.9391851,20.0,52442.27417,0
4,10.8,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,7.53,3,0.0,0.0,0.0,2,1.0,0.0,0.0,0
4,688942.0,3,0.0,0.0,0.0,34,208.8864824,0.0,0.0,0
195,772.02,413,1.0,0.0,0.0,5,0.39,0.0,0.0,0
275,596107.57,418,7.0,3.0,1.0,14,31.19308507,1.0,8898.2,0
4,288353.97,3,0.0,0.0,0.0,14,362.7495057,0.0,0.0,0
4,31.28,3,0.0,0.0,0.0,2,0.732876,0.0,0.0,0
4,18.47,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,64.95,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
88,251884.43,436,11.0,6.0,8.0,10,3.0,8.0,18084.16229,0
4,342210.95,3,0.0,0.0,0.0,8,5.245,0.0,0.0,0
4,952.85,3,0.0,0.0,0.0,93,117.475363,0.0,0.0,0
4,10.87,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,46.45,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,511227.0,436,11.0,9.0,11.0,10,1.6018449,11.0,834.17353,0
4,323.42,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,20.18,3,0.0,0.0,0.0,6,2001.0,0.0,0.0,0
4,314.65,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,73.97,3,0.0,0.0,0.0,3,30.0,0.0,0.0,0
4,10.38,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,327.37,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
270,228977.53,308,1.0,1.0,1.0,99,93.10979582,1.0,2.010660203,0
270,138977.15,11,1.0,1.0,1.0,380,68276.71402,1.0,600.0,0
270,816620.55,401,11.0,8.0,11.0,61,25.39458564,11.0,961.7267601,0
178,376480.78,349,46.0,17.0,20.0,125,556.364853,20.0,128960.5576,0
270,267722.13,236,3.0,3.0,3.0,16,7.4983,3.0,0.451704102,0
270,1150335.93,401,8.0,7.0,8.0,793,183.6186244,8.0,661.7509099,0
4,617468.87,3,0.0,0.0,0.0,10,21.67211742,0.0,0.0,0
270,226766.85,119,2.0,2.0,2.0,160,146.2768721,2.0,2.443222682,0
4,10.93,3,0.0,0.0,0.0,2,2.75,0.0,0.0,0
4,73.42,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
94,520700.2,144,11.0,6.0,6.0,629,305.2343334,6.0,5336.862638,0
4,127115.7,3,0.0,0.0,0.0,68,13.10198159,0.0,0.0,0
4,353915.25,3,0.0,0.0,0.0,14,17.40140661,0.0,0.0,0
4,75.03,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,62.6,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,301482.83,3,0.0,0.0,0.0,15,78.74344479,0.0,0.0,0
4,310.32,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,40.8,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,376485.87,308,1.0,1.0,1.0,1239,679.6224224,1.0,7.566596724,0
4,2669.23,3,0.0,0.0,0.0,4,592.2,0.0,0.0,0
243,946931.97,381,111.0,27.0,30.0,145,959.0416393,31.0,893275.1803,0
4,13.88,3,0.0,0.0,0.0,2,4.995,0.0,0.0,0
4,5.9,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,323.38,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,743941.13,3,0.0,0.0,0.0,12,35.062,0.0,0.0,0
270,992074.2,308,1.0,1.0,1.0,82,7.918215339,1.0,0.590491666,0
4,152789.92,3,0.0,0.0,0.0,36,98.4,0.0,0.0,0
4,178770.6,3,0.0,0.0,0.0,22,11.19922425,0.0,0.0,0
36,1019244.7,352,23.0,16.0,20.0,21,1049.518271,20.0,25663.33033,0
4,327.92,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,326.03,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
30,936622.48,38,12.0,5.0,6.0,9,8.23425725,6.0,7557251.085,0
4,948.73,3,0.0,0.0,0.0,2,1.0,0.0,0.0,0
270,250218.08,119,2.0,2.0,2.0,14,5.88569015,2.0,0.707816805,0
4,321.5,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,232149.93,352,30.0,25.0,29.0,16736,28581590.07,29.0,7790615.151,0
270,182217.27,308,1.0,1.0,1.0,89,9.03258,1.0,0.027084248,0
270,77404.38,308,1.0,1.0,1.0,6,13.99,1.0,0.677038036,0
4,2259.65,3,0.0,0.0,0.0,2,12.12362879,0.0,0.0,0
4,320.68,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,6699.85,3,0.0,0.0,0.0,4,1.202274835,0.0,0.0,0
270,192602.83,119,2.0,2.0,2.0,48,558.6370505,2.0,5.761324514,0
4,305.33,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,20.93,3,0.0,0.0,0.0,2,2.39451049,0.0,0.0,0
4,68.72,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,205942.0,3,0.0,0.0,0.0,138,141.2676352,0.0,0.0,0
4,1.32,3,0.0,0.0,0.0,2,0.70724002,0.0,0.0,0
4,326.13,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,511631.95,259,5.0,5.0,4.0,10002,385159.4122,4.0,1082.047004,0
4,10.78,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,81986.35,3,0.0,0.0,0.0,8,24.94772779,0.0,0.0,0
4,24336.13,3,0.0,0.0,0.0,21,80.5245836,0.0,0.0,0
4,319.03,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
133,365818.75,214,12.0,2.0,4.0,15,1.27532199,4.0,463.449346,0
270,1921036.52,401,13.0,10.0,13.0,1624,3111.258825,13.0,3443.673581,0
4,68.3,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
80,237790.27,124,6.0,3.0,3.0,39,4.47824154,3.0,4.609305004,0
23,915822.2,243,74.0,19.0,23.0,65,40.10491576,25.0,23951.62405,0
270,319320.53,119,4.0,4.0,4.0,161,107.2089593,4.0,38.30065663,0
4,5.65,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
239,868228.45,243,211.0,103.0,97.0,1329,2778.180693,101.0,23609743.37,0
4,14.38,3,0.0,0.0,0.0,2,1.373735,0.0,0.0,0
270,705882.98,352,13.0,10.0,12.0,42,18.28436324,12.0,787.9660948,0
4,306025.43,3,0.0,0.0,0.0,39,2.41867522,0.0,0.0,0
4,88326.87,3,0.0,0.0,0.0,3,509.0,0.0,0.0,0
4,253.25,3,0.0,0.0,0.0,2,0.3,0.0,0.0,0
4,327.7,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,5.95,3,0.0,0.0,0.0,2,1.46644078,0.0,0.0,0
4,4.68,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
270,259478.57,436,5.0,5.0,5.0,2,1.0,5.0,221.6279701,0
270,209930.78,119,3.0,3.0,3.0,77,18.28040267,3.0,2.442045431,0
270,319340.05,47,5.0,5.0,5.0,85,99.67635547,5.0,22.53670109,0
4,325.1,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,208695.6,3,0.0,0.0,0.0,19,1226.331962,0.0,0.0,0
4,80078.27,3,0.0,0.0,0.0,82,4.43565538,0.0,0.0,0
4,964896.88,3,0.0,0.0,0.0,6,30.1222493,0.0,0.0,0
270,547962.18,119,3.0,3.0,3.0,83,17.96526264,3.0,0.692508147,0
270,291444.33,119,2.0,2.0,2.0,25,18.85476593,2.0,1.07304716,0
270,32323.4,280,2.0,2.0,2.0,5,6.25834463,2.0,3.58e-07,0
270,283905.73,308,1.0,1.0,1.0,119,47.60848499,1.0,0.969261436,0
270,192590.77,119,2.0,2.0,2.0,144,15.89998028,2.0,1.225226492,0
189,273204.15,436,10.0,7.0,7.0,12,36.42376702,7.0,2412.650887,0
4,65.03,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,5.4,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,324.73,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,17134.32,3,0.0,0.0,0.0,5,5.39779878,0.0,0.0,0
4,5.8,3,0.0,0.0,0.0,2,10.0,0.0,0.0,0
4,39.47,3,0.0,0.0,0.0,2,0.22555922,0.0,0.0,0
4,19.25,3,0.0,0.0,0.0,6,2001.0,0.0,0.0,0
4,310.48,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,321.17,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
196,974378.8,281,39.0,13.0,14.0,74,29.38156653,14.0,161926.5824,0
4,321.95,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,1010987.1,3,0.0,0.0,0.0,17,48.82990775,0.0,0.0,0
4,18.87,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
270,226756.63,119,2.0,2.0,2.0,276,359.061997,2.0,5.345209069,0
180,447735.1,35,14.0,9.0,8.0,18,0.613,9.0,112769.9967,0
4,2257.95,3,0.0,0.0,0.0,2,0.381175036,0.0,0.0,0
4,412.35,3,0.0,0.0,0.0,10,34.5,0.0,0.0,0
4,63.8,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,96.47,3,0.0,0.0,0.0,2,1.11675294,0.0,0.0,0
270,244519.93,119,4.0,4.0,4.0,73,60.43698417,4.0,7.220323818,0
4,111991.72,3,0.0,0.0,0.0,128,12.90717676,0.0,0.0,0
270,283910.03,119,4.0,4.0,4.0,118,99.94944496,4.0,4.367417237,0
183,310191.97,295,2554.0,1.0,1.0,1624,0.0,1.0,1.4e-10,0
4,293206.6,3,0.0,0.0,0.0,407,2196.294011,0.0,0.0,0
