a46,a3,a47,a23,a28,a45,a18,a20,a30,a24,Class
4,3.35,3,0.0,0.0,0.0,2,2.9875,0.0,0.0,0
4,20.25,3,0.0,0.0,0.0,7,101.0,0.0,0.0,0
4,11.77,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,498256.47,3,0.0,0.0,0.0,41,2599.401197,0.0,0.0,0
123,80594.87,308,3.0,2.0,2.0,17,7.92331804,2.0,140.4018609,0
270,382590.08,416,3.0,3.0,3.0,93,23.80363138,3.0,225.5416981,0
270,0.0,257,5.0,5.0,5.0,1,0.25030333,5.0,72.21897278,0
270,0.0,257,5.0,5.0,5.0,1,0.8047254,5.0,190.0557308,0
270,319307.7,308,2.0,2.0,2.0,69,39.63384266,2.0,1.332143817,0
270,257022.97,11,1.0,1.0,1.0,121,6702.003081,1.0,600.0,0
4,324.32,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
189,1028223.27,308,2.0,1.0,1.0,30,388.4710445,1.0,0.883954103,0
4,5.7,3,0.0,0.0,0.0,2,0.08261824,0.0,0.0,0
4,9.42,3,0.0,0.0,0.0,6,2001.0,0.0,0.0,0
270,628523.6,257,7.0,6.0,7.0,5,2.9035219,7.0,457.6503346,0
270,619849.82,150,9.0,8.0,9.0,35,1488.1,9.0,817.4496497,0
294,793491.68,440,12.0,8.0,10.0,381,293.2508283,10.0,22488.43592,0
276,28.3,420,2.0,1.0,1.0,7,1.5,1.0,15.0,0
4,326.48,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
11,803222.32,134,12.0,5.0,5.0,16,9.861906236,7.0,17869.13613,0
4,66.82,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,412324.93,119,21.0,17.0,21.0,29,688.0,21.0,4598776.195,0
4,55823.7,3,0.0,0.0,0.0,13,17.91800941,0.0,0.0,0
221,1012331.27,308,301.0,68.0,89.0,700,254.3362392,91.0,5570185.773,0
4,89.1,3,0.0,0.0,0.0,2,1.01508158,0.0,0.0,0
4,3.35,3,0.0,0.0,0.0,2,2.9875,0.0,0.0,0
4,20.25,3,0.0,0.0,0.0,7,101.0,0.0,0.0,0
4,11.77,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
98,988908.52,243,143.0,44.0,53.0,297,134.7430648,54.0,974114081.0,0
4,285115.22,3,0.0,0.0,0.0,10,154.3627258,0.0,0.0,0
4,5272.57,3,0.0,0.0,0.0,3,3.03318486,0.0,0.0,0
242,511290.38,127,36.0,18.0,20.0,66,27.85699104,20.0,91927.00009,0
270,436853.67,119,7.0,6.0,7.0,1131,1768.544078,7.0,1385.295461,0
4,304.58,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,9.63,3,0.0,0.0,0.0,6,2001.0,0.0,0.0,0
4,8.25,3,0.0,0.0,0.0,6,2001.0,0.0,0.0,0
4,70.13,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
189,286442.25,308,461.0,22.0,14.0,399,42.67294412,14.0,12695.9934,0
4,64843.1,3,0.0,0.0,0.0,16,18.17841313,0.0,0.0,0
4,3.52,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,6.9,3,0.0,0.0,0.0,6,2001.0,0.0,0.0,0
270,198932.2,119,1.0,1.0,1.0,8,49.86216568,1.0,0.363144512,0
4,328.15,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,19539.48,3,0.0,0.0,0.0,8,22.82941954,0.0,0.0,0
4,1.0,3,0.0,0.0,0.0,2,1.14673119,0.0,0.0,0
4,990.03,3,0.0,0.0,0.0,4,0.39549182,0.0,0.0,0
4,330.08,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,141602.6,3,0.0,0.0,0.0,5,23.45,0.0,0.0,0
220,1077405.07,349,18.0,11.0,13.0,155,255.8953091,13.0,18563.55504,0
123,1393223.92,202,31.0,19.0,23.0,1443,1254.782141,23.0,2547558.025,0
294,1146326.33,80,10.0,7.0,9.0,910,290.2671681,9.0,12234.4039,0
71,303102.97,281,14.0,9.0,13.0,32,12.67767492,13.0,944.6033825,0
4,22.87,3,0.0,0.0,0.0,2,0.16034303,0.0,0.0,0
270,141742.03,47,2.0,2.0,2.0,24,98.26038342,2.0,3.717532395,0
270,201173.6,308,2.0,2.0,2.0,23,19.70001994,2.0,1.102379888,0
4,328.03,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
270,425956.23,308,2.0,2.0,2.0,17,3.356423455,2.0,0.602172802,0
189,378138.72,119,10.0,7.0,8.0,24,38.94634,8.0,2128.081893,0
4,321.7,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,9.03,3,0.0,0.0,0.0,2,2.42669718,0.0,0.0,0
210,218439.35,336,2.0,1.0,1.0,90,47.24068776,1.0,44.13992388,0
4,325.48,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
39,859710.0,326,166.0,42.0,46.0,109,62.10584646,48.0,21967013.42,0
4,7.88,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,2.87,3,0.0,0.0,0.0,2,0.1,0.0,0.0,0
4,305.8,3,0.0,0.0,0.0,2,0.05,0.0,0.0,0
4,361103.55,3,0.0,0.0,0.0,17,2.130655868,0.0,0.0,0
4,5.8,3,0.0,0.0,0.0,2,0.1,0.0,0.0,0
178,672137.4,343,17.0,3.0,4.0,140,17768.05834,4.0,207839.8682,0
98,943339.32,154,107.0,39.0,44.0,146,15.5736161,44.0,24863.6319,0
270,314177.05,119,5.0,5.0,5.0,6,81.1,5.0,221.6279701,0
4,920078.93,3,0.0,0.0,0.0,60,189.896049,0.0,0.0,0
230,564120.9,308,19.0,11.0,10.0,33,4.47397938,10.0,645.1203581,0
4,276.62,3,0.0,0.0,0.0,2,0.25523878,0.0,0.0,0
270,584627.13,330,12.0,8.0,12.0,288,55.08978712,12.0,15766.18881,0
4,73081.1,3,0.0,0.0,0.0,24,220.4114,0.0,0.0,0
4,328.15,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,13.23,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,410650.88,3,0.0,0.0,0.0,37,12.73636704,0.0,0.0,0
4,18450.17,3,0.0,0.0,0.0,12,1.743654493,0.0,0.0,0
4,20400.7,3,0.0,0.0,0.0,4,0.61213235,0.0,0.0,0
4,83826.17,3,0.0,0.0,0.0,14,35.47767939,0.0,0.0,0
4,20.18,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,325.1,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,900000.88,3,0.0,0.0,0.0,54,59.19010013,0.0,0.0,0
270,319321.53,308,4.0,4.0,4.0,135,36.62462254,4.0,3.698671374,0
189,1134563.5,154,229.0,63.0,50.0,377,2107.428665,50.0,336056.6294,0
4,43436.53,3,0.0,0.0,0.0,18,1248.778387,0.0,0.0,0
4,322.47,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
260,593349.17,365,57.0,22.0,22.0,75,5.5286377,25.0,87264.75561,0
270,97609.33,308,2.0,2.0,2.0,9,213.286,2.0,608.6840675,0
4,364.87,3,0.0,0.0,0.0,2,0.25926214,0.0,0.0,0
4,66.87,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,118442.8,3,0.0,0.0,0.0,24,64.81643431,0.0,0.0,0
4,8.22,3,0.0,0.0,0.0,2,1.3716,0.0,0.0,0
4,712311.78,3,0.0,0.0,0.0,397,375.609692,0.0,0.0,0
4,53.6,3,0.0,0.0,0.0,2,0.1,0.0,0.0,0
167,1072012.07,268,42.0,23.0,26.0,79,18288.11284,26.0,1576699.951,0
4,34966.05,3,0.0,0.0,0.0,6,175.0,0.0,0.0,0
4,329.37,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,71.18,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,20.95,3,0.0,0.0,0.0,2,11.0,0.0,0.0,0
4,3188.0,3,0.0,0.0,0.0,5,3.341102706,0.0,0.0,0
189,318226.72,260,8.0,5.0,5.0,50,59.57211652,5.0,608.5476138,0
270,291413.78,308,4.0,4.0,4.0,119,24.109097,4.0,4.040864626,0
4,78586.13,3,0.0,0.0,0.0,8,61.7987803,0.0,0.0,0
4,76.63,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
123,332260.65,202,16.0,6.0,6.0,28,12.12590948,6.0,2904.715931,0
140,169660.38,223,10000.0,1970.0,1.0,10000,14.02,1.0,3249121.637,0
4,322.12,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,8.67,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,49.32,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,168569.23,3,0.0,0.0,0.0,10000,701.642526,0.0,0.0,0
4,570913.38,3,0.0,0.0,0.0,134,337.9928154,0.0,0.0,0
4,66.47,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,350143.3,308,1.0,1.0,1.0,228,201.4196573,1.0,0.015377306,0
4,8.72,3,0.0,0.0,0.0,6,2001.0,0.0,0.0,0
4,71.38,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
203,725353.58,134,19.0,11.0,15.0,14,135.0624,16.0,484233.3416,0
270,505648.85,80,1.0,1.0,1.0,962,128.8844324,1.0,10084.0,0
140,282885.17,223,8.0,4.0,4.0,13,4.072181,4.0,262.5731577,0
4,1355183.82,3,0.0,0.0,0.0,10,3.7,0.0,0.0,0
4,325.23,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,286741.15,3,0.0,0.0,0.0,9,30.69385,0.0,0.0,0
4,26737.83,3,0.0,0.0,0.0,32,24.26449828,0.0,0.0,0
4,31454.52,3,0.0,0.0,0.0,11,170.3237689,0.0,0.0,0
4,7.98,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,70.65,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
123,327531.52,202,2.0,1.0,1.0,3,0.00246512,1.0,120.0,0
4,66.78,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,73.22,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,418136.47,3,0.0,0.0,0.0,34,2.59011959,0.0,0.0,0
4,76245.58,3,0.0,0.0,0.0,7,80.3,0.0,0.0,0
4,4.57,3,0.0,0.0,0.0,2,0.062837,0.0,0.0,0
4,26537.83,3,0.0,0.0,0.0,3,5.99592231,0.0,0.0,0
4,20782.1,3,0.0,0.0,0.0,23,56.4967501,0.0,0.0,0
270,336411.32,308,2.0,2.0,2.0,27,8.261856304,2.0,201.4960257,0
134,993807.68,216,12.0,3.0,5.0,75,2153.608663,5.0,94925.7689,0
4,241553.23,3,0.0,0.0,0.0,21,93.30313108,0.0,0.0,0
270,244653.68,47,4.0,4.0,4.0,87,80.70154464,4.0,4.617139186,0
263,1018398.57,401,7.0,3.0,2.0,96,84.68806692,2.0,11841.078,0
105,1300238.5,243,328.0,159.0,153.0,220,81.18732065,171.0,1157217.574,0
4,68.65,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,321818.53,3,0.0,0.0,0.0,417,71.9442821,0.0,0.0,0
270,347171.28,308,2.0,2.0,2.0,192,113.5465371,2.0,2.381699468,0
4,325.12,3,0.0,0.0,0.0,6,101.0,0.0,0.0,0
4,11607.95,3,0.0,0.0,0.0,6,0.733619085,0.0,0.0,0
270,86381.95,11,1.0,1.0,1.0,33,72.96334362,1.0,600.0,0
4,519.63,3,0.0,0.0,0.0,2,10.0,0.0,0.0,0
267,91426.37,407,5.0,3.0,3.0,7,1.7590392,3.0,17255.7,0
4,4.15,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,10077.37,3,0.0,0.0,0.0,14,26.395,0.0,0.0,0
189,899439.22,308,3.0,2.0,2.0,39,466.2745866,2.0,601.4133056,0
4,363462.75,3,0.0,0.0,0.0,473,12.10849027,0.0,0.0,0
4,79.08,3,0.0,0.0,0.0,6,101.0,0.0,0.0,0
4,9661.88,3,0.0,0.0,0.0,6,2.10919344,0.0,0.0,0
98,545018.17,154,414.0,64.0,56.0,392,3773.210797,56.0,8038341.864,0
30,149774.32,38,16.0,1.0,5.0,11,0.02,5.0,124790.0,0
4,8.57,3,0.0,0.0,0.0,2,1.73781507,0.0,0.0,0
270,226773.65,47,2.0,2.0,2.0,10,54.2878,2.0,5.284488565,0
4,18.33,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
270,143890.28,308,1.0,1.0,1.0,12,1.24,1.0,0.033297851,0
4,48.6,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
98,396247.77,154,57.0,16.0,21.0,675,1315.11,22.0,38276.88101,0
4,8.78,3,0.0,0.0,0.0,7,2001.0,0.0,0.0,0
4,63.05,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,432.73,3,0.0,0.0,0.0,2,10.0,0.0,0.0,0
4,226995.68,3,0.0,0.0,0.0,105,10.09128321,0.0,0.0,0
4,324.97,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,84104.48,3,0.0,0.0,0.0,10026,125584.3629,0.0,0.0,0
4,627.05,3,0.0,0.0,0.0,2,0.1,0.0,0.0,0
4,858.35,3,0.0,0.0,0.0,2,25.9326,0.0,0.0,0
4,675966.93,3,0.0,0.0,0.0,6,3.497105,0.0,0.0,0
4,316731.08,3,0.0,0.0,0.0,18,288.7,0.0,0.0,0
270,200122.12,308,2.0,2.0,2.0,146,117.6992552,2.0,3.27740454,0
4,189293.32,3,0.0,0.0,0.0,4,1.19,0.0,0.0,0
4,158205.92,3,0.0,0.0,0.0,18,24.70547244,0.0,0.0,0
4,227325.3,3,0.0,0.0,0.0,16,9.319606465,0.0,0.0,0
209,950657.47,308,108.0,41.0,38.0,145,735.4206085,38.0,10291866.3,0
109,253750.68,172,15.0,4.0,4.0,14,1.680161366,4.0,1.54e-06,0
4,333.38,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,1613147.68,450,4.0,4.0,4.0,3851,6784.436291,4.0,1553031566.0,0
220,777802.37,202,165.0,61.0,61.0,269,8086.55124,61.0,3917547.977,0
270,211063.55,47,2.0,2.0,2.0,12,59.9707314,2.0,5.676015858,0
270,89598.02,308,1.0,1.0,1.0,5,2.00698545,1.0,0.060711297,0
4,318.68,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,325.98,3,0.0,0.0,0.0,9,101.0,0.0,0.0,0
270,291418.33,308,2.0,2.0,2.0,12,18.42817348,2.0,0.409149877,0
4,320.58,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,88323.1,3,0.0,0.0,0.0,10,113.719838,0.0,0.0,0
4,335.28,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
270,198933.43,308,2.0,2.0,2.0,146,94.65359768,2.0,1.752990391,0
4,916950.92,3,0.0,0.0,0.0,18,0.650871651,0.0,0.0,0
270,467188.57,186,4.0,4.0,4.0,62,25.89087267,4.0,38.25330188,0
4,43.58,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,157360.63,308,4.0,4.0,4.0,311,1400.091408,4.0,618.636547,0
4,324.1,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,329.88,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,128033.62,3,0.0,0.0,0.0,6,3.0,0.0,0.0,0
137,671235.72,219,5505.0,44.0,2.0,602,0.0,2.0,0.00042318,0
270,980732.58,416,2.0,2.0,2.0,27,32.74187691,2.0,39.42270247,0
4,68.38,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,349015.53,257,10.0,8.0,10.0,2,3.004,10.0,466.8852323,0
4,5.68,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
30,817648.0,111,29.0,19.0,22.0,62,58.45951612,22.0,42228.43715,0
4,17.75,3,0.0,0.0,0.0,2,7.0,0.0,0.0,0
213,276148.28,257,14.0,10.0,11.0,12,11.06168708,11.0,9265.484111,0
4,65.03,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,523749.98,308,2.0,2.0,2.0,388,365.4192305,2.0,1.206238725,0
4,18.87,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
294,17293.18,261,214.0,130.0,129.0,10026,235.1722144,134.0,3225949846.0,0
4,26.72,3,0.0,0.0,0.0,2,0.13214493,0.0,0.0,0
4,321.68,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,322.58,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,26.25,3,0.0,0.0,0.0,2,1.0,0.0,0.0,0
270,201173.6,308,2.0,2.0,2.0,78,18.12230876,2.0,0.909357936,0
4,6.12,3,0.0,0.0,0.0,2,1.1,0.0,0.0,0
4,159.83,3,0.0,0.0,0.0,4,1.22484933,0.0,0.0,0
4,63.67,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,50.12,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
133,368660.27,214,303.0,86.0,3.0,307,0.41,3.0,1.764049711,0
270,100474.13,308,1.0,1.0,1.0,8,37.48332022,1.0,1.12876457,0
4,12.47,3,0.0,0.0,0.0,2,3.805,0.0,0.0,0
4,325.1,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,215150.75,308,1.0,1.0,1.0,30,349.5,1.0,2.362985957,0
4,271.4,3,0.0,0.0,0.0,4,20.098992,0.0,0.0,0
98,286804.17,139,27.0,11.0,10.0,48,163.1474276,10.0,61154.2818,0
90,578739.03,139,47.0,19.0,21.0,65,442.6085757,21.0,353781.3063,0
270,112445.8,330,13.0,9.0,13.0,7,78.16840001,13.0,3294.486282,0
237,227644.03,375,14.0,5.0,5.0,19,62.682,5.0,263932.0,0
4,634433.2,3,0.0,0.0,0.0,10000,143790.8925,0.0,0.0,0
4,88027.4,3,0.0,0.0,0.0,15,42.89067312,0.0,0.0,0
4,44.48,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,346791.18,119,6.0,5.0,6.0,322,150.3258684,6.0,511.4829867,0
270,395000.85,308,2.0,2.0,2.0,1401,1675.645092,2.0,1.237596343,0
280,96180.12,425,8.0,3.0,1.0,12,0.07,1.0,1673.466628,0
4,623.02,3,0.0,0.0,0.0,2,10.0,0.0,0.0,0
0,850771.93,0,272.0,29.0,15.0,1592,5534.833414,15.0,21814.78275,0
4,373.22,3,0.0,0.0,0.0,115,10001.0,0.0,0.0,0
4,71.27,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
270,800572.58,330,11.0,7.0,11.0,54,124.8622054,11.0,955.9999962,0
4,27.92,3,0.0,0.0,0.0,2,5.0,0.0,0.0,0
4,1.05,3,0.0,0.0,0.0,2,0.07107254,0.0,0.0,0
4,525.48,3,0.0,0.0,0.0,2,1.25517592,0.0,0.0,0
4,58.73,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,26.6,3,0.0,0.0,0.0,2,3.788,0.0,0.0,0
192,758394.62,311,47.0,23.0,21.0,70,25.72055493,23.0,391694.0727,0
4,50.98,3,0.0,0.0,0.0,2,1.4,0.0,0.0,0
4,327.8,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,19.53,3,0.0,0.0,0.0,2,2.187998,0.0,0.0,0
4,83831.33,3,0.0,0.0,0.0,18,220.2525261,0.0,0.0,0
4,324.73,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,326.97,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,58252.3,3,0.0,0.0,0.0,4,3.14962741,0.0,0.0,0
4,51395.42,3,0.0,0.0,0.0,10,0.04665627,0.0,0.0,0
4,326.58,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
186,17972.4,299,2.0,1.0,1.0,3,1.99,1.0,18.16513761,0
4,1.52,3,0.0,0.0,0.0,2,3.60850362,0.0,0.0,0
4,342497.17,3,0.0,0.0,0.0,41,1.865735493,0.0,0.0,0
270,291467.83,119,5.0,5.0,5.0,80,81.08762066,5.0,20.3613216,0
4,100.33,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,62834.25,3,0.0,0.0,0.0,12,2.24782087,0.0,0.0,0
4,211041.5,3,0.0,0.0,0.0,5,117.0,0.0,0.0,0
98,446432.05,308,18.0,10.0,7.0,24,33.73126287,7.0,3425.494159,0
4,327.87,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
294,891748.35,257,16.0,11.0,15.0,702,608.8857576,15.0,2682.392516,0
4,70.65,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
270,998404.17,465,2.0,2.0,2.0,1848,55187.39509,2.0,1e-12,0
4,295.15,3,0.0,0.0,0.0,2,2.47933247,0.0,0.0,0
4,330.85,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,97.08,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,66.78,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,46.43,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
17,1027483.17,102,67.0,30.0,33.0,115,389.1363885,34.0,908063.8601,0
270,414113.87,257,6.0,4.0,6.0,322,100.6983783,6.0,397.5167844,0
270,406903.28,174,44.0,37.0,42.0,15,7699.989207,42.0,74666.13371,0
270,174215.43,308,1.0,1.0,1.0,21,1.312841557,1.0,0.014997201,0
189,980087.67,154,84.0,41.0,55.0,99,286.0095145,55.0,77679.21178,0
4,317.83,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,127797.32,3,0.0,0.0,0.0,353,2508.395377,0.0,0.0,0
4,5.53,3,0.0,0.0,0.0,2,1.0,0.0,0.0,0
4,319.92,3,0.0,0.0,0.0,7,101.0,0.0,0.0,0
266,408841.33,403,17.0,3.0,4.0,70,1297.117758,4.0,0.001400242,0
270,226781.67,308,2.0,2.0,2.0,106,28.03546872,2.0,1.405898609,0
270,239164.8,339,8.0,7.0,8.0,9,248.7293889,8.0,3759.328608,0
4,58.2,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,68.17,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,283914.35,119,5.0,5.0,5.0,66,128.8165792,5.0,608.7600221,0
234,1009136.32,298,183.0,100.0,52.0,398,1810.026085,56.0,45584626.18,0
270,226749.78,308,2.0,2.0,2.0,138,118.3523082,2.0,3.025306803,0
4,10.17,3,0.0,0.0,0.0,2,2.88339041,0.0,0.0,0
270,198899.82,308,2.0,2.0,2.0,135,62.47204611,2.0,2.241662097,0
30,124512.68,38,11.0,3.0,3.0,25,9.960810645,3.0,2331.121231,0
4,57832.97,3,0.0,0.0,0.0,4,42.85308779,0.0,0.0,0
4,0.0,3,0.0,0.0,0.0,1,0.001,0.0,0.0,0
270,282223.38,308,4.0,4.0,4.0,11,3.06922974,4.0,458.9707349,0
4,915381.07,3,0.0,0.0,0.0,10,0.151184592,0.0,0.0,0
270,485879.8,257,10.0,9.0,10.0,8,14.1489036,10.0,1092.703288,0
270,28155.42,330,15.0,13.0,15.0,6,13.02916,15.0,1994.620171,0
4,76043.17,3,0.0,0.0,0.0,33,15.63296467,0.0,0.0,0
4,41778.63,3,0.0,0.0,0.0,18,16.31717022,0.0,0.0,0
4,41.53,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,325.75,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,72.45,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,556.97,3,0.0,0.0,0.0,2,2.24215432,0.0,0.0,0
4,314.92,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,298742.07,3,0.0,0.0,0.0,2,0.049,0.0,0.0,0
4,574430.28,3,0.0,0.0,0.0,7,16.64259037,0.0,0.0,0
4,34.1,3,0.0,0.0,0.0,2,6.03158661,0.0,0.0,0
4,322.3,3,0.0,0.0,0.0,11,101.0,0.0,0.0,0
39,43150.27,308,3.0,2.0,2.0,10,2.154,2.0,161.6050141,0
270,857011.93,308,2.0,2.0,2.0,322,84.59420661,2.0,0.030573766,0
123,764723.88,202,50.0,12.0,10.0,67,25.05298766,10.0,16119.51694,0
4,321.68,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
39,107931.13,308,6.0,3.0,3.0,12,10.18338359,3.0,100.0078144,0
270,379467.15,257,8.0,6.0,8.0,183,1.492,8.0,525.3572781,0
270,226775.6,308,2.0,2.0,2.0,33,109.7405214,2.0,3.769928166,0
4,511027.08,3,0.0,0.0,0.0,128,9.280326294,0.0,0.0,0
4,324.23,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,613478.98,3,0.0,0.0,0.0,20,1.41095273,0.0,0.0,0
4,44.1,3,0.0,0.0,0.0,2,0.15439348,0.0,0.0,0
4,6.32,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,66.87,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,2272.6,3,0.0,0.0,0.0,2,0.255251806,0.0,0.0,0
4,322.68,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
154,920023.6,330,6.0,4.0,5.0,18,1024.261652,5.0,2.173289297,0
98,545737.73,154,219.0,35.0,31.0,407,4954.305436,33.0,3048232.813,0
4,1110764.03,3,0.0,0.0,0.0,670,291.3287717,0.0,0.0,0
270,198915.27,119,1.0,1.0,1.0,10,16.38026004,1.0,0.550472776,0
220,155256.32,202,17.0,9.0,12.0,17,86.81821533,12.0,16658.32013,0
294,1287980.57,330,17.0,11.0,16.0,71,188.5005062,16.0,3660.72127,0
4,326.17,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,423461.22,3,0.0,0.0,0.0,17,571.1,0.0,0.0,0
270,1031076.45,414,3.0,2.0,2.0,137,262.7344024,2.0,0.004,0
270,181565.32,308,2.0,2.0,2.0,9,36.99958179,2.0,602.7274673,0
4,311.62,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,252113.02,260,8.0,7.0,8.0,10000,49.54436408,8.0,757.9936823,0
4,3.73,3,0.0,0.0,0.0,2,0.01,0.0,0.0,0
220,1003218.92,154,56.0,21.0,21.0,131,66.13313229,21.0,15269.76488,0
237,228994.98,119,7.0,5.0,5.0,10,4.10457274,5.0,21348.89604,0
4,108703.02,3,0.0,0.0,0.0,3,0.5329794,0.0,0.0,0
104,738644.23,260,13.0,8.0,11.0,16,9.14902365,11.0,1056.425446,0
4,36913.68,3,0.0,0.0,0.0,9,20.53560397,0.0,0.0,0
4,327.37,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,322.55,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,320.3,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
189,887215.38,330,19.0,14.0,18.0,7,400.1367,18.0,10696.22034,0
4,985926.68,3,0.0,0.0,0.0,295,18.84938257,0.0,0.0,0
4,189384.47,3,0.0,0.0,0.0,57,12.23528503,0.0,0.0,0
71,136728.42,281,14.0,2.0,3.0,17,33.09942308,3.0,10.00000072,0
270,201132.63,308,1.0,1.0,1.0,131,78.73938539,1.0,1.657126903,0
4,699545.03,3,0.0,0.0,0.0,14,1.28077104,0.0,0.0,0
4,73.22,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,63.6,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,76.32,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
270,226775.5,308,2.0,2.0,2.0,41,29.71509743,2.0,1.392180943,0
189,138537.38,308,3.0,2.0,2.0,9,24.077538,2.0,601.551698,0
294,993577.92,416,3.0,2.0,2.0,446,15.09527797,2.0,4.063344923,0
189,671971.85,308,62.0,34.0,30.0,70,5.598443208,30.0,12194.83763,0
270,250596.9,308,2.0,2.0,2.0,80,5.660034921,2.0,30.59629879,0
270,212174.15,257,8.0,6.0,8.0,10,4.856653556,8.0,519.840852,0
4,56.5,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
